"기업규모별","산업분류","시점","항목",데이터
"4규모(상용근로자 300~499인)","B.광업(05~08)","2021","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","B.광업(05~08)","2022","상여금 및 성과금 (천원)",-
"4규모(상용근로자 300~499인)","B.광업(05~08)","2022","법정외 복지비용 (천원)",-
"4규모(상용근로자 300~499인)","B.광업(05~08)","2022","채용관련비용(모집비) (천원)",-
"4규모(상용근로자 300~499인)","B.광업(05~08)","2022","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2019","상여금 및 성과금 (천원)",727.5
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2019","법정외 복지비용 (천원)",175.9
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2019","채용관련비용(모집비) (천원)",6.2
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2019","교육훈련비용 (천원)",11.9
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2020","상여금 및 성과금 (천원)",616.6
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2020","법정외 복지비용 (천원)",228.8
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2020","채용관련비용(모집비) (천원)",5.0
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2020","교육훈련비용 (천원)",9.0
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2021","상여금 및 성과금 (천원)",771.9
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2021","법정외 복지비용 (천원)",228.2
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2021","채용관련비용(모집비) (천원)",9.3
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2021","교육훈련비용 (천원)",14.1
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2022","상여금 및 성과금 (천원)",835.0
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2022","법정외 복지비용 (천원)",265.0
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2022","채용관련비용(모집비) (천원)",5.6
"4규모(상용근로자 300~499인)","C.제조업(10~34)","2022","교육훈련비용 (천원)",9.0
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","상여금 및 성과금 (천원)",2514.1
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","법정외 복지비용 (천원)",556.4
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","채용관련비용(모집비) (천원)",15.5
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","교육훈련비용 (천원)",163.7
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","상여금 및 성과금 (천원)",2909.6
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","법정외 복지비용 (천원)",651.7
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","채용관련비용(모집비) (천원)",14.9
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","교육훈련비용 (천원)",177.2
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","상여금 및 성과금 (천원)",2828.6
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","법정외 복지비용 (천원)",813.5
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","채용관련비용(모집비) (천원)",35.7
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","교육훈련비용 (천원)",149.9
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","상여금 및 성과금 (천원)",2790.1
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","법정외 복지비용 (천원)",767.5
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","채용관련비용(모집비) (천원)",11.0
"4규모(상용근로자 300~499인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","교육훈련비용 (천원)",73.6
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","상여금 및 성과금 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","법정외 복지비용 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","채용관련비용(모집비) (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","상여금 및 성과금 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","법정외 복지비용 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","채용관련비용(모집비) (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","상여금 및 성과금 (천원)",437.6
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","법정외 복지비용 (천원)",157.0
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","채용관련비용(모집비) (천원)",0.6
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","교육훈련비용 (천원)",14.5
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","상여금 및 성과금 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","법정외 복지비용 (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","채용관련비용(모집비) (천원)",-
"4규모(상용근로자 300~499인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2019","상여금 및 성과금 (천원)",454.5
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2019","법정외 복지비용 (천원)",208.6
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2019","채용관련비용(모집비) (천원)",2.5
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2019","교육훈련비용 (천원)",5.3
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2020","상여금 및 성과금 (천원)",419.3
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2020","법정외 복지비용 (천원)",103.2
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2020","채용관련비용(모집비) (천원)",1.0
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2020","교육훈련비용 (천원)",5.7
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2021","상여금 및 성과금 (천원)",461.6
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2021","법정외 복지비용 (천원)",181.0
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2021","채용관련비용(모집비) (천원)",1.1
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2021","교육훈련비용 (천원)",4.1
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2022","상여금 및 성과금 (천원)",426.7
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2022","법정외 복지비용 (천원)",68.9
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2022","채용관련비용(모집비) (천원)",0.0
"4규모(상용근로자 300~499인)","F.건설업(41~42)","2022","교육훈련비용 (천원)",0.0
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2019","상여금 및 성과금 (천원)",663.4
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2019","법정외 복지비용 (천원)",123.2
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2019","채용관련비용(모집비) (천원)",12.5
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2019","교육훈련비용 (천원)",37.4
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2020","상여금 및 성과금 (천원)",1182.3
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2020","법정외 복지비용 (천원)",136.5
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2020","채용관련비용(모집비) (천원)",4.2
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2020","교육훈련비용 (천원)",25.9
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2021","상여금 및 성과금 (천원)",1291.9
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2021","법정외 복지비용 (천원)",117.6
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2021","채용관련비용(모집비) (천원)",20.7
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2021","교육훈련비용 (천원)",19.8
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2022","상여금 및 성과금 (천원)",850.9
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2022","법정외 복지비용 (천원)",335.2
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2022","채용관련비용(모집비) (천원)",10.6
"4규모(상용근로자 300~499인)","G.도매 및 소매업(45~47)","2022","교육훈련비용 (천원)",16.6
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2019","상여금 및 성과금 (천원)",678.7
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2019","법정외 복지비용 (천원)",166.3
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2019","채용관련비용(모집비) (천원)",0.2
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2019","교육훈련비용 (천원)",6.6
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2020","상여금 및 성과금 (천원)",731.8
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2020","법정외 복지비용 (천원)",134.1
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2020","채용관련비용(모집비) (천원)",0.1
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2020","교육훈련비용 (천원)",0.8
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2021","상여금 및 성과금 (천원)",1060.2
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2021","법정외 복지비용 (천원)",154.8
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2021","채용관련비용(모집비) (천원)",0.8
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2021","교육훈련비용 (천원)",4.0
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2022","상여금 및 성과금 (천원)",867.2
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2022","법정외 복지비용 (천원)",129.8
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2022","채용관련비용(모집비) (천원)",3.0
"4규모(상용근로자 300~499인)","H.운수 및 창고업(49~52)","2022","교육훈련비용 (천원)",6.1
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2019","상여금 및 성과금 (천원)",317.5
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2019","법정외 복지비용 (천원)",172.7
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2019","채용관련비용(모집비) (천원)",1.5
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2019","교육훈련비용 (천원)",9.7
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2020","상여금 및 성과금 (천원)",256.1
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2020","법정외 복지비용 (천원)",209.7
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2020","채용관련비용(모집비) (천원)",0.8
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2020","교육훈련비용 (천원)",8.0
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2021","상여금 및 성과금 (천원)",231.7
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2021","법정외 복지비용 (천원)",221.9
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2021","채용관련비용(모집비) (천원)",2.3
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2021","교육훈련비용 (천원)",9.5
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2022","상여금 및 성과금 (천원)",359.7
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2022","법정외 복지비용 (천원)",155.2
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2022","채용관련비용(모집비) (천원)",7.9
"4규모(상용근로자 300~499인)","I.숙박 및 음식점업(55~56)","2022","교육훈련비용 (천원)",3.8
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2019","상여금 및 성과금 (천원)",385.1
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2019","법정외 복지비용 (천원)",235.1
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2019","채용관련비용(모집비) (천원)",4.6
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2019","교육훈련비용 (천원)",20.4
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2020","상여금 및 성과금 (천원)",753.7
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2020","법정외 복지비용 (천원)",202.2
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2020","채용관련비용(모집비) (천원)",3.7
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2020","교육훈련비용 (천원)",7.6
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2021","상여금 및 성과금 (천원)",706.8
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2021","법정외 복지비용 (천원)",288.0
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2021","채용관련비용(모집비) (천원)",9.3
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2021","교육훈련비용 (천원)",10.8
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2022","상여금 및 성과금 (천원)",733.1
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2022","법정외 복지비용 (천원)",339.7
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2022","채용관련비용(모집비) (천원)",13.4
"4규모(상용근로자 300~499인)","J.정보통신업(58~63)","2022","교육훈련비용 (천원)",27.6
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2019","상여금 및 성과금 (천원)",1648.7
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2019","법정외 복지비용 (천원)",272.3
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2019","채용관련비용(모집비) (천원)",14.6
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2019","교육훈련비용 (천원)",53.8
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2020","상여금 및 성과금 (천원)",2262.9
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2020","법정외 복지비용 (천원)",272.3
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2020","채용관련비용(모집비) (천원)",7.0
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2020","교육훈련비용 (천원)",25.6
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2021","상여금 및 성과금 (천원)",2160.8
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2021","법정외 복지비용 (천원)",306.5
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2021","채용관련비용(모집비) (천원)",11.3
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2021","교육훈련비용 (천원)",40.6
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2022","상여금 및 성과금 (천원)",2075.7
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2022","법정외 복지비용 (천원)",397.2
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2022","채용관련비용(모집비) (천원)",24.1
"4규모(상용근로자 300~499인)","K.금융 및 보험업(64~66)","2022","교육훈련비용 (천원)",50.3
"4규모(상용근로자 300~499인)","L.부동산업(68)","2019","상여금 및 성과금 (천원)",932.6
"4규모(상용근로자 300~499인)","L.부동산업(68)","2019","법정외 복지비용 (천원)",60.6
"4규모(상용근로자 300~499인)","L.부동산업(68)","2019","채용관련비용(모집비) (천원)",0.0
"4규모(상용근로자 300~499인)","L.부동산업(68)","2019","교육훈련비용 (천원)",6.0
"4규모(상용근로자 300~499인)","L.부동산업(68)","2020","상여금 및 성과금 (천원)",1967.3
"4규모(상용근로자 300~499인)","L.부동산업(68)","2020","법정외 복지비용 (천원)",131.6
"4규모(상용근로자 300~499인)","L.부동산업(68)","2020","채용관련비용(모집비) (천원)",0.3
"4규모(상용근로자 300~499인)","L.부동산업(68)","2020","교육훈련비용 (천원)",16.3
"4규모(상용근로자 300~499인)","L.부동산업(68)","2021","상여금 및 성과금 (천원)",1314.2
"4규모(상용근로자 300~499인)","L.부동산업(68)","2021","법정외 복지비용 (천원)",328.2
"4규모(상용근로자 300~499인)","L.부동산업(68)","2021","채용관련비용(모집비) (천원)",10.4
"4규모(상용근로자 300~499인)","L.부동산업(68)","2021","교육훈련비용 (천원)",50.7
"4규모(상용근로자 300~499인)","L.부동산업(68)","2022","상여금 및 성과금 (천원)",471.6
"4규모(상용근로자 300~499인)","L.부동산업(68)","2022","법정외 복지비용 (천원)",203.5
"4규모(상용근로자 300~499인)","L.부동산업(68)","2022","채용관련비용(모집비) (천원)",1.5
"4규모(상용근로자 300~499인)","L.부동산업(68)","2022","교육훈련비용 (천원)",10.4
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","상여금 및 성과금 (천원)",645.7
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","법정외 복지비용 (천원)",124.3
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","채용관련비용(모집비) (천원)",6.8
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","교육훈련비용 (천원)",47.0
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","상여금 및 성과금 (천원)",286.7
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","법정외 복지비용 (천원)",145.1
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","채용관련비용(모집비) (천원)",3.1
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","교육훈련비용 (천원)",19.7
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","상여금 및 성과금 (천원)",441.6
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","법정외 복지비용 (천원)",124.1
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","채용관련비용(모집비) (천원)",5.6
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","교육훈련비용 (천원)",23.7
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","상여금 및 성과금 (천원)",325.2
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","법정외 복지비용 (천원)",106.0
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","채용관련비용(모집비) (천원)",5.8
"4규모(상용근로자 300~499인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","교육훈련비용 (천원)",13.8
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","상여금 및 성과금 (천원)",82.9
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","법정외 복지비용 (천원)",24.7
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","채용관련비용(모집비) (천원)",2.6
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","교육훈련비용 (천원)",0.8
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","상여금 및 성과금 (천원)",57.9
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","법정외 복지비용 (천원)",24.3
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","채용관련비용(모집비) (천원)",4.1
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","교육훈련비용 (천원)",1.6
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","상여금 및 성과금 (천원)",86.6
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","법정외 복지비용 (천원)",35.9
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","채용관련비용(모집비) (천원)",2.4
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","교육훈련비용 (천원)",1.6
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","상여금 및 성과금 (천원)",156.1
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","법정외 복지비용 (천원)",80.1
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","채용관련비용(모집비) (천원)",1.7
"4규모(상용근로자 300~499인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","교육훈련비용 (천원)",2.9
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","상여금 및 성과금 (천원)",222.2
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","법정외 복지비용 (천원)",9.3
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","채용관련비용(모집비) (천원)",2.8
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","교육훈련비용 (천원)",2.7
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","상여금 및 성과금 (천원)",0.0
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","법정외 복지비용 (천원)",0.0
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","채용관련비용(모집비) (천원)",0.0
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","교육훈련비용 (천원)",0.0
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","상여금 및 성과금 (천원)",-
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","법정외 복지비용 (천원)",-
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","채용관련비용(모집비) (천원)",-
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","교육훈련비용 (천원)",-
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","상여금 및 성과금 (천원)",11.9
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","법정외 복지비용 (천원)",355.7
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","채용관련비용(모집비) (천원)",4.2
"4규모(상용근로자 300~499인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","교육훈련비용 (천원)",6.2
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","상여금 및 성과금 (천원)",331.0
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","법정외 복지비용 (천원)",154.9
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","채용관련비용(모집비) (천원)",2.9
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","교육훈련비용 (천원)",13.8
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","상여금 및 성과금 (천원)",292.3
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","법정외 복지비용 (천원)",133.5
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","채용관련비용(모집비) (천원)",0.9
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","교육훈련비용 (천원)",7.9
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","상여금 및 성과금 (천원)",330.9
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","법정외 복지비용 (천원)",136.6
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","채용관련비용(모집비) (천원)",7.6
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","교육훈련비용 (천원)",1.1
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","상여금 및 성과금 (천원)",334.2
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","법정외 복지비용 (천원)",159.6
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","채용관련비용(모집비) (천원)",9.1
"4규모(상용근로자 300~499인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","교육훈련비용 (천원)",24.8
"5규모(상용근로자 500~999인)","B.광업(05~08)","2019","상여금 및 성과금 (천원)",2039.0
"5규모(상용근로자 500~999인)","B.광업(05~08)","2019","법정외 복지비용 (천원)",95.7
"5규모(상용근로자 500~999인)","B.광업(05~08)","2019","채용관련비용(모집비) (천원)",0.0
"5규모(상용근로자 500~999인)","B.광업(05~08)","2019","교육훈련비용 (천원)",9.6
"5규모(상용근로자 500~999인)","B.광업(05~08)","2020","상여금 및 성과금 (천원)",2162.7
"5규모(상용근로자 500~999인)","B.광업(05~08)","2020","법정외 복지비용 (천원)",97.0
"5규모(상용근로자 500~999인)","B.광업(05~08)","2020","채용관련비용(모집비) (천원)",0.0
"5규모(상용근로자 500~999인)","B.광업(05~08)","2020","교육훈련비용 (천원)",3.7
"5규모(상용근로자 500~999인)","B.광업(05~08)","2021","상여금 및 성과금 (천원)",2126.6
"5규모(상용근로자 500~999인)","B.광업(05~08)","2021","법정외 복지비용 (천원)",137.8
"5규모(상용근로자 500~999인)","B.광업(05~08)","2021","채용관련비용(모집비) (천원)",0.0
